,ShiftID,Assigned,ObjectTimeStart,ObjectTimeEnd,StartShift,EndShift,ShiftLength
37,B8CD2BAD-0C81-444D-9409-174282382D46_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 16:00:00,2022-01-05 22:00:00,330.0
38,B8CD2BAD-0C81-444D-9409-174282382D46_3,1.0,2022-01-06 16:00:00,2022-01-06 22:00:00,2022-01-06 16:00:00,2022-01-06 22:00:00,330.0
39,B8CD2BAD-0C81-444D-9409-174282382D46_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 10:00:00,2022-01-07 21:00:00,630.0
40,B8CD2BAD-0C81-444D-9409-174282382D46_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 05:00:00,2022-01-08 16:00:00,630.0
41,B8CD2BAD-0C81-444D-9409-174282382D46_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 10:00:00,2022-01-09 16:00:00,330.00000000000364
42,9C3E19DC-3666-4964-867A-FF5895F83038_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 16:00:00,2022-01-03 22:00:00,330.0
43,9C3E19DC-3666-4964-867A-FF5895F83038_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 16:00:00,2022-01-04 22:00:00,330.0
44,9C3E19DC-3666-4964-867A-FF5895F83038_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 16:00:00,2022-01-05 22:00:00,330.0
45,9C3E19DC-3666-4964-867A-FF5895F83038_3,1.0,2022-01-06 16:00:00,2022-01-06 22:00:00,2022-01-06 16:00:00,2022-01-06 22:00:00,330.0
46,9C3E19DC-3666-4964-867A-FF5895F83038_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 16:00:00,2022-01-07 22:00:00,330.0
47,9C3E19DC-3666-4964-867A-FF5895F83038_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 05:00:00,2022-01-08 13:00:00,450.0
48,9C3E19DC-3666-4964-867A-FF5895F83038_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 14:00:00,2022-01-09 22:00:00,450.0
49,829DD9D4-C506-437E-9DE5-6E90D2053632_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 14:00:00,2022-01-03 22:00:00,450.0
50,829DD9D4-C506-437E-9DE5-6E90D2053632_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 05:00:00,2022-01-04 16:00:00,630.0
51,829DD9D4-C506-437E-9DE5-6E90D2053632_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 14:00:00,2022-01-05 22:00:00,450.0
52,829DD9D4-C506-437E-9DE5-6E90D2053632_3,1.0,2022-01-06 16:00:00,2022-01-06 22:00:00,2022-01-06 16:00:00,2022-01-06 22:00:00,330.0
53,829DD9D4-C506-437E-9DE5-6E90D2053632_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 05:00:00,2022-01-07 16:00:00,630.0
